timeStamp,PID.mv,PID.sv,PID.pv,PID.Kp,PID.Td,PID.Ti
时间戳,PID控制输出,PID预设值,PID输入值,比例系数,积分时间,微分时间
2024-6-3 19:00:00,36.600000,3.000000,0.000000,12.000000,0.150000,30.000000
2024-6-3 19:00:01,37.745567,3.000000,0.003719,12.000000,0.150000,30.000000
2024-6-3 19:00:02,38.834436,3.000000,0.012001,12.000000,0.150000,30.000000
2024-6-3 19:00:03,39.915370,3.000000,0.021286,12.000000,0.150000,30.000000
2024-6-3 19:00:04,40.991473,3.000000,0.030653,12.000000,0.150000,30.000000
2024-6-3 19:00:05,42.062362,3.000000,0.040136,12.000000,0.150000,30.000000
2024-6-3 19:00:06,43.127782,3.000000,0.049752,12.000000,0.150000,30.000000
2024-6-3 19:00:07,44.187546,3.000000,0.059514,12.000000,0.150000,30.000000
2024-6-3 19:00:08,45.241502,3.000000,0.069430,12.000000,0.150000,30.000000
2024-6-3 19:00:09,46.289522,3.000000,0.079505,12.000000,0.150000,30.000000
2024-6-3 19:00:10,47.331493,3.000000,0.089744,12.000000,0.150000,30.000000
2024-6-3 19:00:11,48.367313,3.000000,0.100149,12.000000,0.150000,30.000000
2024-6-3 19:00:12,49.396888,3.000000,0.110723,12.000000,0.150000,30.000000
2024-6-3 19:00:13,50.420131,3.000000,0.121468,12.000000,0.150000,30.000000
2024-6-3 19:00:14,51.436961,3.000000,0.132385,12.000000,0.150000,30.000000
2024-6-3 19:00:15,52.447298,3.000000,0.143475,12.000000,0.150000,30.000000
2024-6-3 19:00:16,53.451070,3.000000,0.154737,12.000000,0.150000,30.000000
2024-6-3 19:00:17,54.448203,3.000000,0.166174,12.000000,0.150000,30.000000
2024-6-3 19:00:18,55.438630,3.000000,0.177783,12.000000,0.150000,30.000000
2024-6-3 19:00:19,56.422283,3.000000,0.189566,12.000000,0.150000,30.000000
2024-6-3 19:00:20,57.399098,3.000000,0.201521,12.000000,0.150000,30.000000
2024-6-3 19:00:21,58.369012,3.000000,0.213649,12.000000,0.150000,30.000000
2024-6-3 19:00:22,59.331963,3.000000,0.225949,12.000000,0.150000,30.000000
2024-6-3 19:00:23,60.287891,3.000000,0.238419,12.000000,0.150000,30.000000
2024-6-3 19:00:24,61.236739,3.000000,0.251060,12.000000,0.150000,30.000000
2024-6-3 19:00:25,62.178450,3.000000,0.263870,12.000000,0.150000,30.000000
2024-6-3 19:00:26,63.112968,3.000000,0.276849,12.000000,0.150000,30.000000
2024-6-3 19:00:27,64.040238,3.000000,0.289995,12.000000,0.150000,30.000000
2024-6-3 19:00:28,64.960207,3.000000,0.303307,12.000000,0.150000,30.000000
2024-6-3 19:00:29,65.872824,3.000000,0.316784,12.000000,0.150000,30.000000
2024-6-3 19:00:30,66.778037,3.000000,0.330425,12.000000,0.150000,30.000000
2024-6-3 19:00:31,67.675796,3.000000,0.344228,12.000000,0.150000,30.000000
2024-6-3 19:00:32,68.566052,3.000000,0.358193,12.000000,0.150000,30.000000
2024-6-3 19:00:33,69.448759,3.000000,0.372318,12.000000,0.150000,30.000000
2024-6-3 19:00:34,70.323868,3.000000,0.386601,12.000000,0.150000,30.000000
2024-6-3 19:00:35,71.191334,3.000000,0.401041,12.000000,0.150000,30.000000
2024-6-3 19:00:36,72.051112,3.000000,0.415637,12.000000,0.150000,30.000000
2024-6-3 19:00:37,72.903158,3.000000,0.430387,12.000000,0.150000,30.000000
2024-6-3 19:00:38,73.747430,3.000000,0.445290,12.000000,0.150000,30.000000
2024-6-3 19:00:39,74.583885,3.000000,0.460344,12.000000,0.150000,30.000000
2024-6-3 19:00:40,75.412482,3.000000,0.475547,12.000000,0.150000,30.000000
2024-6-3 19:00:41,76.233181,3.000000,0.490898,12.000000,0.150000,30.000000
2024-6-3 19:00:42,77.045943,3.000000,0.506396,12.000000,0.150000,30.000000
2024-6-3 19:00:43,77.850729,3.000000,0.522038,12.000000,0.150000,30.000000
2024-6-3 19:00:44,78.647503,3.000000,0.537823,12.000000,0.150000,30.000000
2024-6-3 19:00:45,79.436227,3.000000,0.553750,12.000000,0.150000,30.000000
2024-6-3 19:00:46,80.216866,3.000000,0.569816,12.000000,0.150000,30.000000
2024-6-3 19:00:47,80.989385,3.000000,0.586020,12.000000,0.150000,30.000000
2024-6-3 19:00:48,81.753751,3.000000,0.602360,12.000000,0.150000,30.000000
2024-6-3 19:00:49,82.509930,3.000000,0.618835,12.000000,0.150000,30.000000
2024-6-3 19:00:50,83.257891,3.000000,0.635442,12.000000,0.150000,30.000000
2024-6-3 19:00:51,83.997602,3.000000,0.652180,12.000000,0.150000,30.000000
2024-6-3 19:00:52,84.729033,3.000000,0.669048,12.000000,0.150000,30.000000
2024-6-3 19:00:53,85.452155,3.000000,0.686042,12.000000,0.150000,30.000000
2024-6-3 19:00:54,86.166940,3.000000,0.703162,12.000000,0.150000,30.000000
2024-6-3 19:00:55,86.873358,3.000000,0.720406,12.000000,0.150000,30.000000
2024-6-3 19:00:56,87.571385,3.000000,0.737772,12.000000,0.150000,30.000000
2024-6-3 19:00:57,88.260993,3.000000,0.755257,12.000000,0.150000,30.000000
2024-6-3 19:00:58,88.942158,3.000000,0.772861,12.000000,0.150000,30.000000
2024-6-3 19:00:59,89.614856,3.000000,0.790580,12.000000,0.150000,30.000000
2024-6-3 19:01:00,90.279064,3.000000,0.808414,12.000000,0.150000,30.000000
2024-6-3 19:01:01,90.934758,3.000000,0.826361,12.000000,0.150000,30.000000
2024-6-3 19:01:02,91.581918,3.000000,0.844418,12.000000,0.150000,30.000000
2024-6-3 19:01:03,92.220522,3.000000,0.862583,12.000000,0.150000,30.000000
2024-6-3 19:01:04,92.850551,3.000000,0.880856,12.000000,0.150000,30.000000
2024-6-3 19:01:05,93.471987,3.000000,0.899233,12.000000,0.150000,30.000000
2024-6-3 19:01:06,94.084810,3.000000,0.917712,12.000000,0.150000,30.000000
2024-6-3 19:01:07,94.689003,3.000000,0.936293,12.000000,0.150000,30.000000
2024-6-3 19:01:08,95.284551,3.000000,0.954973,12.000000,0.150000,30.000000
2024-6-3 19:01:09,95.871437,3.000000,0.973750,12.000000,0.150000,30.000000
2024-6-3 19:01:10,96.449646,3.000000,0.992621,12.000000,0.150000,30.000000
