timeStamp,PID.mv,PID.sv,PID.pv,PID.Kp,PID.Td,PID.Ti
时间戳,PID控制输出,PID预设值,PID输入值,比例系数,积分时间,微分时间
2024-6-3 19:05:17,17.496737,4.000000,4.905981,12.000000,0.150000,30.000000
2024-6-3 19:05:22,16.802687,4.000000,4.933181,12.000000,0.150000,30.000000
2024-6-3 19:05:27,16.117639,4.000000,4.958762,12.000000,0.150000,30.000000
2024-6-3 19:05:32,15.441956,4.000000,4.982746,12.000000,0.150000,30.000000
2024-6-3 19:05:37,14.857458,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:05:42,14.478532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:05:47,14.078532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:05:52,13.678532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:05:57,13.278532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:02,12.878532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:07,12.478532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:12,12.078532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:17,11.678532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:22,11.278532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:27,10.878532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:32,10.478532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:37,10.078532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:42,9.678532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:47,9.278532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:52,8.878532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:06:57,8.478532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:02,8.078532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:07,7.678532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:12,7.278532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:17,6.878532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:22,6.478532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:27,6.078532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:32,5.678532,4.000000,5.000000,12.000000,0.150000,30.000000
2024-6-3 19:07:37,5.278966,4.000000,4.999973,12.000000,0.150000,30.000000
2024-6-3 19:07:42,4.889649,4.000000,4.999236,12.000000,0.150000,30.000000
2024-6-3 19:07:47,4.511457,4.000000,4.997614,12.000000,0.150000,30.000000
2024-6-3 19:07:52,4.144421,4.000000,4.995135,12.000000,0.150000,30.000000
2024-6-3 19:07:57,3.788556,4.000000,4.991824,12.000000,0.150000,30.000000
2024-6-3 19:08:02,3.443866,4.000000,4.987708,12.000000,0.150000,30.000000
2024-6-3 19:08:07,3.110346,4.000000,4.982814,12.000000,0.150000,30.000000
2024-6-3 19:08:12,2.787980,4.000000,4.977169,12.000000,0.150000,30.000000
2024-6-3 19:08:17,2.476744,4.000000,4.970799,12.000000,0.150000,30.000000
2024-6-3 19:08:22,2.176603,4.000000,4.963729,12.000000,0.150000,30.000000
2024-6-3 19:08:27,1.887513,4.000000,4.955988,12.000000,0.150000,30.000000
2024-6-3 19:08:32,1.609422,4.000000,4.947600,12.000000,0.150000,30.000000
2024-6-3 19:08:37,1.342268,4.000000,4.938592,12.000000,0.150000,30.000000
2024-6-3 19:08:42,1.085984,4.000000,4.928990,12.000000,0.150000,30.000000
2024-6-3 19:08:47,0.840491,4.000000,4.918819,12.000000,0.150000,30.000000
2024-6-3 19:08:52,0.605705,4.000000,4.908105,12.000000,0.150000,30.000000
2024-6-3 19:08:57,0.381534,4.000000,4.896872,12.000000,0.150000,30.000000
2024-6-3 19:09:02,0.167879,4.000000,4.885146,12.000000,0.150000,30.000000
2024-6-3 19:09:07,0.139224,4.000000,4.872951,12.000000,0.150000,30.000000
2024-6-3 19:09:12,0.112836,4.000000,4.860709,12.000000,0.150000,30.000000
2024-6-3 19:09:17,0.089389,4.000000,4.848425,12.000000,0.150000,30.000000
2024-6-3 19:09:22,0.067002,4.000000,4.836299,12.000000,0.150000,30.000000
2024-6-3 19:09:27,0.048161,4.000000,4.824139,12.000000,0.150000,30.000000
2024-6-3 19:09:32,0.032075,4.000000,4.811951,12.000000,0.150000,30.000000
2024-6-3 19:09:37,0.018673,4.000000,4.799742,12.000000,0.150000,30.000000
2024-6-3 19:09:42,0.007883,4.000000,4.787518,12.000000,0.150000,30.000000
2024-6-3 19:09:47,0.154693,4.000000,4.775285,12.000000,0.150000,30.000000
2024-6-3 19:09:52,0.145568,4.000000,4.763225,12.000000,0.150000,30.000000
2024-6-3 19:09:57,0.138873,4.000000,4.751162,12.000000,0.150000,30.000000
2024-6-3 19:10:02,0.134544,4.000000,4.739102,12.000000,0.150000,30.000000
2024-6-3 19:10:07,0.132516,4.000000,4.727051,12.000000,0.150000,30.000000
2024-6-3 19:10:12,0.132724,4.000000,4.715013,12.000000,0.150000,30.000000
2024-6-3 19:10:17,0.135103,4.000000,4.702995,12.000000,0.150000,30.000000
2024-6-3 19:10:22,0.001392,4.000000,4.690999,12.000000,0.150000,30.000000
2024-6-3 19:10:27,0.011038,4.000000,4.678876,12.000000,0.150000,30.000000
2024-6-3 19:10:32,0.022644,4.000000,4.666790,12.000000,0.150000,30.000000
2024-6-3 19:10:37,0.036146,4.000000,4.654746,12.000000,0.150000,30.000000
2024-6-3 19:10:42,0.051484,4.000000,4.642748,12.000000,0.150000,30.000000
2024-6-3 19:10:47,0.068598,4.000000,4.630801,12.000000,0.150000,30.000000
2024-6-3 19:10:52,0.088483,4.000000,4.618766,12.000000,0.150000,30.000000
2024-6-3 19:10:57,0.109478,4.000000,4.606793,12.000000,0.150000,30.000000
2024-6-3 19:11:02,0.013083,4.000000,4.594886,12.000000,0.150000,30.000000
2024-6-3 19:11:07,0.040032,4.000000,4.582914,12.000000,0.150000,30.000000
2024-6-3 19:11:12,0.068433,4.000000,4.571019,12.000000,0.150000,30.000000
2024-6-3 19:11:17,0.099076,4.000000,4.559075,12.000000,0.150000,30.000000
2024-6-3 19:11:22,0.021121,4.000000,4.547218,12.000000,0.150000,30.000000
2024-6-3 19:11:27,0.056584,4.000000,4.535326,12.000000,0.150000,30.000000
2024-6-3 19:11:32,0.093969,4.000000,4.523410,12.000000,0.150000,30.000000
2024-6-3 19:11:37,0.029720,4.000000,4.511596,12.000000,0.150000,30.000000
2024-6-3 19:11:42,0.072104,4.000000,4.499655,12.000000,0.150000,30.000000
2024-6-3 19:11:47,0.017496,4.000000,4.487829,12.000000,0.150000,30.000000
2024-6-3 19:11:52,0.063938,4.000000,4.476007,12.000000,0.150000,30.000000
2024-6-3 19:11:57,0.018941,4.000000,4.464199,12.000000,0.150000,30.000000
2024-6-3 19:12:02,0.069669,4.000000,4.452413,12.000000,0.150000,30.000000
2024-6-3 19:12:07,0.033463,4.000000,4.440654,12.000000,0.150000,30.000000
2024-6-3 19:12:12,0.002723,4.000000,4.428832,12.000000,0.150000,30.000000
2024-6-3 19:12:17,0.060373,4.000000,4.417055,12.000000,0.150000,30.000000
2024-6-3 19:12:22,0.037836,4.000000,4.405331,12.000000,0.150000,30.000000
2024-6-3 19:12:27,0.020371,4.000000,4.393574,12.000000,0.150000,30.000000
2024-6-3 19:12:32,0.007852,4.000000,4.381795,12.000000,0.150000,30.000000
2024-6-3 19:12:37,0.000147,4.000000,4.370006,12.000000,0.150000,30.000000
2024-6-3 19:12:42,0.068631,4.000000,4.358302,12.000000,0.150000,30.000000
2024-6-3 19:12:47,0.068142,4.000000,4.346688,12.000000,0.150000,30.000000
2024-6-3 19:12:52,0.072067,4.000000,4.335092,12.000000,0.150000,30.000000
2024-6-3 19:12:57,0.080280,4.000000,4.323523,12.000000,0.150000,30.000000
2024-6-3 19:13:02,0.092649,4.000000,4.311990,12.000000,0.150000,30.000000
2024-6-3 19:13:07,0.109045,4.000000,4.300504,12.000000,0.150000,30.000000
2024-6-3 19:13:12,0.129338,4.000000,4.289074,12.000000,0.150000,30.000000
2024-6-3 19:13:17,0.153398,4.000000,4.277707,12.000000,0.150000,30.000000
2024-6-3 19:13:22,0.181095,4.000000,4.266414,12.000000,0.150000,30.000000
2024-6-3 19:13:27,0.212300,4.000000,4.255201,12.000000,0.150000,30.000000
2024-6-3 19:13:32,0.246884,4.000000,4.244077,12.000000,0.150000,30.000000
2024-6-3 19:13:37,0.284720,4.000000,4.233049,12.000000,0.150000,30.000000
2024-6-3 19:13:42,0.325680,4.000000,4.222125,12.000000,0.150000,30.000000
2024-6-3 19:13:47,0.369637,4.000000,4.211311,12.000000,0.150000,30.000000
2024-6-3 19:13:52,0.416467,4.000000,4.200615,12.000000,0.150000,30.000000
2024-6-3 19:13:57,0.466043,4.000000,4.190042,12.000000,0.150000,30.000000
2024-6-3 19:14:02,0.518244,4.000000,4.179599,12.000000,0.150000,30.000000
