Ê±¼ä,pid1.pv,pid1.mv,pid1.sv
2025/3/12 20:28,0,30.15,0.25
2025/3/12 20:28,0,30.3,0.25
2025/3/12 20:28,1.2732395447351628e-05,30.44846447310905,0.25
2025/3/12 20:28,3.71909854829184e-05,30.595507127713493,0.25
2025/3/12 20:28,7.366848854919832e-05,30.74108562625241,0.25
2025/3/12 20:28,0.00012217776307443118,30.885191206651537,0.25
2025/3/12 20:28,0.00018272281992675157,31.0278161661373,0.25
2025/3/12 20:28,0.0002553054284798618,31.16895306985384,0.25
2025/3/12 20:28,0.00033992652382355706,31.308594582498305,0.25
2025/3/12 20:28,0.00043658665946645213,31.446733414225477,0.25
2025/3/12 20:28,0.0005452861897734265,31.583362298874775,0.25
2025/3/12 20:29,0.000666025355085829,31.718473983824232,0.25
2025/3/12 20:29,0.0007988043257946918,31.852061224743693,0.25
2025/3/12 20:29,0.0009436232270192827,31.984116782660532,0.25
2025/3/12 20:29,0.0011004821532981067,32.11463342221509,0.25
2025/3/12 20:29,0.0012693811777761508,32.24360391057107,0.25
2025/3/12 20:29,0.0014503203581881995,32.371021016706706,0.25
2025/3/12 20:29,0.001643299740890414,32.49687751093791,0.25
2025/3/12 20:29,0.0018483193636566373,32.62116616458776,0.25
2025/3/12 20:29,0.0020653792576669247,32.74387974975193,0.25
2025/3/12 20:29,0.0022944794489527225,32.86501103912826,0.25
2025/3/12 20:29,0.0025356199594674203,32.984552805890814,0.25
2025/3/12 20:29,0.0027888008078929376,33.10249782359502,0.25
2025/3/12 20:30,0.0030540220102566826,33.218838866105216,0.25
2025/3/12 20:30,0.003331283580409911,33.33356870753858,0.25
2025/3/12 20:30,0.0036205855304031974,33.446680122221146,0.25
2025/3/12 20:30,0.003921927870784443,33.55816588465292,0.25
2025/3/12 20:30,0.004235310610837816,33.66801876948002,0.25
2025/3/12 20:30,0.004560733758777111,33.77623155147204,0.25
2025/3/12 20:30,0.004898197321903579,33.88279700550372,0.25
2025/3/12 20:30,0.0052477013067357536,33.98770790653982,0.25
2025/3/12 20:30,0.0056092457191170425,34.090957029622594,0.25
2025/3/12 20:30,0.005982830564305482,34.192537149861394,0.25
2025/3/12 20:30,0.006368455847049095,34.29244104242393,0.25
2025/3/12 20:30,0.00676612157164952,34.39066148252889,0.25
2025/3/12 20:31,0.0071758277420160485,34.487191245439696,0.25
2025/3/12 20:31,0.007589816022745994,34.58295876213846,0.25
2025/3/12 20:31,0.008004353968562732,34.67841159625931,0.25
2025/3/12 20:31,0.008419449297550927,34.7735484872022,0.25
2025/3/12 20:31,0.008835114077195798,34.86836764519849,0.25
2025/3/12 20:31,0.00925135916570667,34.96286741907777,0.25
2025/3/12 20:31,0.009668194343948937,35.05704628108232,0.25
2025/3/12 20:31,0.010085628434424286,35.15090281316463,0.25
2025/3/12 20:31,0.010503669402676942,35.244435695332704,0.25
2025/3/12 20:31,0.010922324444320047,35.337643695668945,0.25
2025/3/12 20:31,0.011341600060202387,35.43052566172694,0.25
2025/3/12 20:31,0.011761502121716044,35.52308051307227,0.25
2025/3/12 20:32,0.012182035927847857,35.61530723477974,0.25
2025/3/12 20:32,0.012603206255270206,35.7072048717359,0.25
2025/3/12 20:32,0.013025017402526455,35.79877252362363,0.25
2025/3/12 20:32,0.013447473229177222,35.890009340488035,0.25
2025/3/12 20:32,0.013870577190623264,35.980914518800134,0.25
2025/3/12 20:32,0.014294332369200243,36.071487297949375,0.25
2025/3/12 20:32,0.0147187415020435,36.161726957106964,0.25
2025/3/12 20:32,0.015143807006141909,36.25163281241147,0.25
2025/3/12 20:32,0.015569531000935324,36.34120421443569,0.25
2025/3/12 20:32,0.01599591532875695,36.43044054589985,0.25
2025/3/12 20:32,0.016422961573378025,36.51934121960129,0.25
2025/3/12 20:33,0.016850671076875545,36.60790567653547,0.25
2025/3/12 20:33,0.017279044955013253,36.69613338418593,0.25
2025/3/12 20:33,0.017708084111300322,36.7840238349647,0.25
2025/3/12 20:33,0.018137789249870504,36.87157654478636,0.25
2025/3/12 20:33,0.018568160887306125,36.9587910517617,0.25
2025/3/12 20:33,0.018999199363515615,37.04566691499845,0.25
2025/3/12 20:33,0.019430904851759943,37.13220371349808,0.25
2025/3/12 20:33,0.01986327736791176,37.21840104513911,0.25
2025/3/12 20:33,0.020296316779021266,37.30425852573856,0.25
2025/3/12 20:33,0.02073002281125422,37.389775788183854,0.25
2025/3/12 20:33,0.021164395057260157,37.47495248162878,0.25
2025/3/12 20:33,0.02159943298302243,37.559788270747504,0.25
2025/3/12 20:34,0.02203513593423608,37.64428283504132,0.25
2025/3/12 20:34,0.022471503142254722,37.72843586819373,0.25
2025/3/12 20:34,0.02290853372964316,37.81224707746933,0.25
2025/3/12 20:34,0.023346226715368932,37.89571618315301,0.25
2025/3/12 20:34,0.023784581019662406,37.978842918026004,0.25
2025/3/12 20:34,0.024223595468572275,38.06162702687567,0.25
2025/3/12 20:34,0.02466326879824063,38.14406826603653,0.25
2025/3/12 20:34,0.0251035996589195,38.226166402959706,0.25
2025/3/12 20:34,0.025544586618748717,38.30792121580895,0.25
2025/3/12 20:34,0.025986228167313073,38.38933249308084,0.25
2025/3/12 20:34,0.02642852271899519,38.4704000332476,0.25
2025/3/12 20:34,0.026871468616138972,38.551123644420656,0.25
2025/3/12 20:35,0.027315064132037308,38.63150314403363,0.25
2025/3/12 20:35,0.027759307473756382,38.711538358543095,0.25
2025/3/12 20:35,0.02820419678480803,38.79122912314601,0.25
2025/3/12 20:35,0.028649730147680522,38.8705752815127,0.25
